"Source:","C:\Users\reps\Documents\ADRmu\module_battery\ADRmu_battery.kicad_sch"
"Date:","11/07/2022 09:41:18"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","78"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","B101","BK-18650-PC8","ADRmu_battery_Library:BK-18650-PC8","ADRmu_battery_Library:BK-18650-PC8",""
"","","C101","1u 50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C102","1u 50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C103","1u 50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C104","1u 50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C105","1u 50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C106","1u 50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C107","100n 50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C108","1u 50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C109","100n 50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C110","100n 50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C111","100n 50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C112","100n 50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C113","220u 16V","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"","","C114","1u 50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C115","1u 50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C116","1u 50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C117","100n 50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","D101","1N4148","Device:D","Diode_SMD:D_SOD-123","~"
"","","D102","16V","Device:D_Zener","Diode_SMD:D_SOT-23_ANK","~"
"","","D103","LT Y8SG-V2AB-36","Device:LED","LED_SMD:LED_1206_3216Metric","~"
"","","D104","LT Y8SG-V2AB-36","Device:LED","LED_SMD:LED_1206_3216Metric","~"
"","","D105","BZX84C10","Diode:BZX84Cxx","Package_TO_SOT_SMD:SOT-23","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bzx84c2v4.pdf"
"","","D106","LT Y8SG-V2AB-36","Device:LED","LED_SMD:LED_1206_3216Metric","~"
"","","D109","LT Y8SG-V2AB-36","Device:LED","LED_SMD:LED_1206_3216Metric","~"
"","","D112","LT Y8SG-V2AB-36","Device:LED","LED_SMD:LED_1206_3216Metric","~"
"","","D116","RS1D-13-F","Device:D_Schottky","Diode_SMD:D_SMA","~"
"","","F101","2A","Device:Polyfuse","Fuse:Fuse_1812_4532Metric","~"
"","","HS101","THJP1206AST1","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","HS102","THJP1206AST1","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","HS103","THJP1206AST1","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","HS104","THJP1206AST1","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","J101","Harting 09042326831","Connector:DIN41612_02x16_AC_EvenPins","Connector_DIN:DIN41612_D_2x16_Male_Horizontal_THT","~"
"","","Q101","Q_NMOS_GDS","Device:Q_NMOS_GDS","Package_TO_SOT_SMD:TO-252-2","~"
"","","Q102","Q_NMOS_GDS","Device:Q_NMOS_GDS","Package_TO_SOT_SMD:TO-252-2","~"
"","","R101","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R102","33","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R103","33","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R104","33","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R105","33","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R106","33","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R107","100","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R108","60mR","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R109","100","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R110","5k1","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R111","10M","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R112","1M","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R113","3M","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R114","5k1","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R115","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R116","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R117","200k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R118","470k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R119","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R120","49k9","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R121","9.1M","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R122","680k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R124","1k2","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R125","49k9","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R126","49k9","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R127","49k9","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R128","49k9","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R129","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R130","5k1","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R131","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R132","22k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R133","6k8","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R134","6k8","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R135","82k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R136","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R137","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","TH101","CMFB3435103FNT","Device:Thermistor_NTC","Resistor_SMD:R_0805_2012Metric","~"
"","","TH102","Alternative 10k NTC","Device:Thermistor_NTC","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"","","U101","BQ7791500","ADRmu_battery_Library:BQ77915","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","https://www.ti.com/lit/ds/symlink/bq77915.pdf"
"","","U102","LTC4079","ADRmu_battery_Library:LTC4079","Package_DFN_QFN:DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm","https://www.analog.com/media/en/technical-documentation/data-sheets/ltc4079.pdf"
"","","U103","L7812","Regulator_Linear:L7812","Package_TO_SOT_SMD:TO-252-2","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"","","U104","LM317_TO-263","Regulator_Linear:LM317_TO-263","Package_TO_SOT_SMD:TO-263-2","http://www.ti.com/lit/ds/symlink/lm317.pdf"
"","","U105","LM339","Comparator:LM339","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://www.st.com/resource/en/datasheet/lm139.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","B101","BK-18650-PC8","ADRmu_battery_Library:BK-18650-PC8","ADRmu_battery_Library:BK-18650-PC8",""
"2","10","C101, C102, C103, C104, C105, C106, C108, C114, C115, C116","1u 50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"3","6","C107, C109, C110, C111, C112, C117","100n 50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"4","1","C113","220u 16V","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"5","1","D101","1N4148","Device:D","Diode_SMD:D_SOD-123","~"
"6","1","D102","16V","Device:D_Zener","Diode_SMD:D_SOT-23_ANK","~"
"7","5","D103, D104, D106, D109, D112","LT Y8SG-V2AB-36","Device:LED","LED_SMD:LED_1206_3216Metric","~"
"8","1","D105","BZX84C10","Diode:BZX84Cxx","Package_TO_SOT_SMD:SOT-23","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bzx84c2v4.pdf"
"9","1","D116","RS1D-13-F","Device:D_Schottky","Diode_SMD:D_SMA","~"
"10","1","F101","2A","Device:Polyfuse","Fuse:Fuse_1812_4532Metric","~"
"11","4","HS101, HS102, HS103, HS104","THJP1206AST1","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"12","1","J101","Harting 09042326831","Connector:DIN41612_02x16_AC_EvenPins","Connector_DIN:DIN41612_D_2x16_Male_Horizontal_THT","~"
"13","2","Q101, Q102","Q_NMOS_GDS","Device:Q_NMOS_GDS","Package_TO_SOT_SMD:TO-252-2","~"
"14","1","R101","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"15","5","R102, R103, R104, R105, R106","33","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"16","2","R107, R109","100","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"17","1","R108","60mR","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"18","3","R110, R114, R130","5k1","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"19","1","R111","10M","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"20","1","R112","1M","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"21","1","R113","3M","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"22","7","R115, R116, R119, R129, R131, R136, R137","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"23","1","R117","200k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"24","1","R118","470k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"25","5","R120, R125, R126, R127, R128","49k9","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"26","1","R121","9.1M","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"27","1","R122","680k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"28","1","R124","1k2","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"29","1","R132","22k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"30","2","R133, R134","6k8","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"31","1","R135","82k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"32","1","TH101","CMFB3435103FNT","Device:Thermistor_NTC","Resistor_SMD:R_0805_2012Metric","~"
"33","1","TH102","Alternative 10k NTC","Device:Thermistor_NTC","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"34","1","U101","BQ7791500","ADRmu_battery_Library:BQ77915","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","https://www.ti.com/lit/ds/symlink/bq77915.pdf"
"35","1","U102","LTC4079","ADRmu_battery_Library:LTC4079","Package_DFN_QFN:DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm","https://www.analog.com/media/en/technical-documentation/data-sheets/ltc4079.pdf"
"36","1","U103","L7812","Regulator_Linear:L7812","Package_TO_SOT_SMD:TO-252-2","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"37","1","U104","LM317_TO-263","Regulator_Linear:LM317_TO-263","Package_TO_SOT_SMD:TO-263-2","http://www.ti.com/lit/ds/symlink/lm317.pdf"
"38","1","U105","LM339","Comparator:LM339","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://www.st.com/resource/en/datasheet/lm139.pdf"
